Locationabbr,Locationdesc,Class,Topic,Question,Response,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,GeoLocation
UT,Utah,Health Status,Overall Health,How is your general health?,Excellent,"3,355",22.9,22,23.7,1,%,"(39.360700171000474, -111.58713063499971)"
UT,Utah,Health Status,Overall Health,How is your general health?,Very good,"5,338",35.5,34.6,36.5,2,%,"(39.360700171000474, -111.58713063499971)"
UT,Utah,Health Status,Overall Health,How is your general health?,Good,"4,362",29.5,28.6,30.4,3,%,"(39.360700171000474, -111.58713063499971)"
UT,Utah,Health Status,Overall Health,How is your general health?,Fair,"1,375",9,8.5,9.6,4,%,"(39.360700171000474, -111.58713063499971)"
UT,Utah,Health Status,Overall Health,How is your general health?,Poor,547,3.1,2.8,3.4,5,%,"(39.360700171000474, -111.58713063499971)"
UT,Utah,HIV-AIDS,HIV Test,Have you ever been tested for HIV?,Yes,"2,775",21.6,20.8,22.5,"3,663",%,"(39.360700171000474, -111.58713063499971)"
UT,Utah,HIV-AIDS,HIV Test,Have you ever been tested for HIV?,No,"11,154",78.4,77.5,79.2,"3,664",%,"(39.360700171000474, -111.58713063499971)"
UT,Utah,Immunization,Flu Shot,Adults aged 65+ who have had a flu shot within the past year (variable calculated from one or more BRFSS questions),Yes,"2,034",58,55.9,60,"3,053",%,"(39.360700171000474, -111.58713063499971)"
UT,Utah,Immunization,Flu Shot,Adults aged 65+ who have had a flu shot within the past year (variable calculated from one or more BRFSS questions),No,"1,423",42.1,40,44.1,"3,054",%,"(39.360700171000474, -111.58713063499971)"
UT,Utah,Immunization,Pneumonia Vaccination,Adults aged 65+ who have ever had a pneumonia vaccination (variable calculated from one or more BRFSS questions),Yes,"2,336",69.3,67.4,71.3,"3,091",%,"(39.360700171000474, -111.58713063499971)"
UT,Utah,Immunization,Pneumonia Vaccination,Adults aged 65+ who have ever had a pneumonia vaccination (variable calculated from one or more BRFSS questions),No,"1,016",30.7,28.7,32.6,"3,092",%,"(39.360700171000474, -111.58713063499971)"
UT,Utah,Immunization,Shingle Vaccination,Have you ever had the shingles or zoster vaccine?,Yes,"1,952",24.4,23.2,25.5,"3,129",%,"(39.360700171000474, -111.58713063499971)"
UT,Utah,Immunization,Shingle Vaccination,Have you ever had the shingles or zoster vaccine?,No,"5,254",75.7,74.5,76.8,"3,130",%,"(39.360700171000474, -111.58713063499971)"
UT,Utah,Injury,Drink and Drive,Respondents who have reported having driven after drinking too much (variable calculated from one or more BRFSS questions),Have driven after having too much to drink,91,2.7,2,3.3,"3,215",%,"(39.360700171000474, -111.58713063499971)"
UT,Utah,Injury,Drink and Drive,Respondents who have reported having driven after drinking too much (variable calculated from one or more BRFSS questions),Have not driven after having too much to drink,"3,946",97.4,96.7,98,"3,216",%,"(39.360700171000474, -111.58713063499971)"
VT,Vermont,Chronic Health Indicators,COPD,Ever told you have COPD?,No,"5,999",93.7,93.1,94.4,843,%,"(43.62538123900049, -72.51764079099962)"
UT,Utah,Injury,Seatbelt Use,Always wears a seat belt? (variable calculated from one or more BRFSS questions),Always Wears a Seatbelt,"11,522",80.3,79.5,81.1,"3,169",%,"(39.360700171000474, -111.58713063499971)"
UT,Utah,Injury,Seatbelt Use,Always wears a seat belt? (variable calculated from one or more BRFSS questions),Does Not Always Wear a Seatbelt,"2,842",19.7,18.9,20.5,"3,170",%,"(39.360700171000474, -111.58713063499971)"
UT,Utah,Oral Health,All Teeth Removed,Adults aged 65+ who have had all their natural teeth extracted (variable calculated from one or more BRFSS questions),Yes,388,11.2,9.8,12.6,"1,169",%,"(39.360700171000474, -111.58713063499971)"
UT,Utah,Oral Health,All Teeth Removed,Adults aged 65+ who have had all their natural teeth extracted (variable calculated from one or more BRFSS questions),No,"3,019",88.8,87.4,90.2,"1,170",%,"(39.360700171000474, -111.58713063499971)"
UT,Utah,Oral Health,Dental Visit,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),Yes,"10,594",68.9,68,69.8,"1,207",%,"(39.360700171000474, -111.58713063499971)"
UT,Utah,Oral Health,Dental Visit,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),No,"4,305",31.1,30.2,32,"1,208",%,"(39.360700171000474, -111.58713063499971)"
UT,Utah,Oral Health,Teeth Removed,Adults that have had any permanent teeth extracted (variable calculated from one or more BRFSS questions),Yes,"5,576",33.2,32.3,34.1,"1,123",%,"(39.360700171000474, -111.58713063499971)"
UT,Utah,Oral Health,Teeth Removed,Adults that have had any permanent teeth extracted (variable calculated from one or more BRFSS questions),No,"9,113",66.8,65.9,67.7,"1,124",%,"(39.360700171000474, -111.58713063499971)"
UT,Utah,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Obese (BMI 30.0 - 99.8),"3,656",25.7,24.9,26.6,"2,619",%,"(39.360700171000474, -111.58713063499971)"
UT,Utah,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Overweight (BMI 25.0-29.9),"4,924",33.8,32.8,34.8,"2,618",%,"(39.360700171000474, -111.58713063499971)"
UT,Utah,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Normal Weight (BMI 18.5-24.9),"5,129",38.2,37.2,39.3,"2,617",%,"(39.360700171000474, -111.58713063499971)"
UT,Utah,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Underweight (BMI 12.0-18.4),256,2.3,1.9,2.6,"2,616",%,"(39.360700171000474, -111.58713063499971)"
UT,Utah,Physical Activity,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",Yes,"12,443",83.2,82.5,84,482,%,"(39.360700171000474, -111.58713063499971)"
UT,Utah,Physical Activity,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",No,"2,550",16.8,16,17.5,483,%,"(39.360700171000474, -111.58713063499971)"
UT,Utah,Prostate Cancer,PSA Test,Men aged 40+ who have had a PSA test within the past two years (variable calculated from one or more BRFSS questions),Yes,"1,568",34.2,32.5,35.9,"3,463",%,"(39.360700171000474, -111.58713063499971)"
UT,Utah,Prostate Cancer,PSA Test,Men aged 40+ who have had a PSA test within the past two years (variable calculated from one or more BRFSS questions),No,"2,514",65.8,64.1,67.5,"3,464",%,"(39.360700171000474, -111.58713063499971)"
UT,Utah,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,"1,213",9.7,9,10.3,"2,708",%,"(39.360700171000474, -111.58713063499971)"
UT,Utah,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),No,"13,246",90.4,89.7,91,"2,709",%,"(39.360700171000474, -111.58713063499971)"
UT,Utah,Tobacco Use,Smokeless Tobacco,"Do you currently use chewing tobacco, snuff, or snus?",Every day,196,1.5,1.2,1.7,"2,846",%,"(39.360700171000474, -111.58713063499971)"
UT,Utah,Tobacco Use,Smokeless Tobacco,"Do you currently use chewing tobacco, snuff, or snus?",Some days,191,1.6,1.3,1.8,"2,847",%,"(39.360700171000474, -111.58713063499971)"
UT,Utah,Tobacco Use,Smokeless Tobacco,"Do you currently use chewing tobacco, snuff, or snus?",Not at all,"14,099",97,96.6,97.3,"2,848",%,"(39.360700171000474, -111.58713063499971)"
UT,Utah,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Smoke everyday,828,6.4,5.9,6.9,"2,754",%,"(39.360700171000474, -111.58713063499971)"
UT,Utah,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Smoke some days,385,3.3,2.9,3.6,"2,755",%,"(39.360700171000474, -111.58713063499971)"
UT,Utah,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Former smoker,"2,510",16.1,15.3,16.8,"2,756",%,"(39.360700171000474, -111.58713063499971)"
UT,Utah,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Never smoked,"10,736",74.3,73.4,75.2,"2,757",%,"(39.360700171000474, -111.58713063499971)"
UT,Utah,Women's Health,Mammogram,Women aged 50-74 who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Received a mammogram within the past 2 years,"2,284",73.3,71.3,75.2,"3,339",%,"(39.360700171000474, -111.58713063499971)"
UT,Utah,Women's Health,Mammogram,Women aged 50-74 who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Did not receive a mammogram within the past 2 years,824,26.7,24.8,28.7,"3,340",%,"(39.360700171000474, -111.58713063499971)"
UT,Utah,Women's Health,Mammogram,Women aged 50+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Yes,"2,801",71.6,69.8,73.3,"3,301",%,"(39.360700171000474, -111.58713063499971)"
UT,Utah,Women's Health,Mammogram,Women aged 50+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),No,"1,151",28.4,26.7,30.2,"3,302",%,"(39.360700171000474, -111.58713063499971)"
UT,Utah,Women's Health,Mammogram,Women aged 40+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Yes,"3,448",66.1,64.5,67.7,"3,261",%,"(39.360700171000474, -111.58713063499971)"
UT,Utah,Women's Health,Mammogram,Women aged 40+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),No,"1,691",33.9,32.3,35.5,"3,262",%,"(39.360700171000474, -111.58713063499971)"
UT,Utah,Women's Health,Pap Test,Women aged 18+ who have had a pap test within the past three years (variable calculated from one or more BRFSS questions),Yes,"3,835",70.3,68.6,72,"3,377",%,"(39.360700171000474, -111.58713063499971)"
UT,Utah,Women's Health,Pap Test,Women aged 18+ who have had a pap test within the past three years (variable calculated from one or more BRFSS questions),No,"1,518",29.7,28,31.4,"3,378",%,"(39.360700171000474, -111.58713063499971)"
UT,Utah,Women's Health,Pap Test,Women aged 21-65 who have had a pap test in the past three years (variable calculated from one or more BRFSS questions),Received a Pap test within the past 3 years,"3,296",77.2,75.6,78.9,"3,421",%,"(39.360700171000474, -111.58713063499971)"
UT,Utah,Women's Health,Pap Test,Women aged 21-65 who have had a pap test in the past three years (variable calculated from one or more BRFSS questions),Did not receive a Pap test within the past 3 years,909,22.8,21.1,24.4,"3,422",%,"(39.360700171000474, -111.58713063499971)"
VT,Vermont,Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,Yes,"3,955",64.3,62.8,65.8,"2,873",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,No,"2,171",35.7,34.2,37.2,"2,874",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Alcohol Consumption,Binge Drinking,"Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)",Yes,866,17.9,16.6,19.2,"2,919",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Alcohol Consumption,Binge Drinking,"Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)",No,"5,212",82.1,80.8,83.4,"2,920",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Alcohol Consumption,Heavy Drinking,Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,515,9.1,8.2,10,"2,965",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Alcohol Consumption,Heavy Drinking,Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),No,"5,553",90.9,90,91.8,"2,966",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Chronic Health Indicators,Arthritis,Adults who have been told they have arthritis (variable calculated from one or more BRFSS questions),Yes,"2,104",28,26.7,29.2,887,%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Chronic Health Indicators,Arthritis,Adults who have been told they have arthritis (variable calculated from one or more BRFSS questions),No,"4,350",72,70.8,73.3,888,%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Chronic Health Indicators,Asthma,Adults who have been told they currently have asthma (variable calculated from one or more BRFSS questions),Yes,708,11.3,10.4,12.3,704,%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Chronic Health Indicators,Asthma,Adults who have been told they currently have asthma (variable calculated from one or more BRFSS questions),No,"5,701",88.7,87.7,89.6,705,%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Chronic Health Indicators,Asthma,Adults who have ever been told they have asthma (variable calculated from one or more BRFSS questions),Yes,"1,010",16.5,15.4,17.6,658,%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Chronic Health Indicators,Asthma,Adults who have ever been told they have asthma (variable calculated from one or more BRFSS questions),No,"5,438",83.5,82.4,84.7,659,%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,315,4.1,3.5,4.6,570,%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,No,"6,119",95.9,95.4,96.5,571,%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Chronic Health Indicators,Cardiovascular Disease,Ever told you had a heart attack (myocardial infarction)?,Yes,294,3.8,3.3,4.4,524,%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Chronic Health Indicators,Cardiovascular Disease,Ever told you had a heart attack (myocardial infarction)?,No,"6,160",96.2,95.7,96.7,525,%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Chronic Health Indicators,Cardiovascular Disease,Ever told you had a stroke?,Yes,175,2.3,1.9,2.7,615,%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Chronic Health Indicators,Cardiovascular Disease,Ever told you had a stroke?,No,"6,282",97.7,97.3,98.1,616,%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Chronic Health Indicators,COPD,Ever told you have COPD?,Yes,440,6.3,5.6,7,842,%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,"1,428",21.8,20.6,23,933,%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,"5,015",78.2,77,79.4,934,%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Chronic Health Indicators,Kidney,Ever told you have kidney disease?,No,"6,272",97.2,96.8,97.7,980,%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,567,7.9,7.1,8.6,"1,025",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,"Yes, pregnancy-related",69,1.1,0.8,1.5,"1,026",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,"No, pre-diabetes or borderline diabetes",58,0.8,0.6,1.1,"1,028",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,No,"5,774",90.2,89.4,91,"1,027",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Chronic Health Indicators,Kidney,Ever told you have kidney disease?,Yes,187,2.8,2.3,3.2,979,%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Chronic Health Indicators,Other Cancer,Ever told you had any other types of cancer?,Yes,553,7.1,6.4,7.8,796,%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Chronic Health Indicators,Other Cancer,Ever told you had any other types of cancer?,No,"5,906",92.9,92.2,93.6,797,%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Chronic Health Indicators,Skin Cancer,Ever told you had skin cancer?,Yes,524,6.4,5.8,7,750,%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Chronic Health Indicators,Skin Cancer,Ever told you had skin cancer?,No,"5,937",93.6,93,94.2,751,%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Colorectal Cancer Screening,Blood Stool Test,Adults aged 50+ who have had a blood stool test within the past two years (variable calculated from one or more BRFSS questions),Yes,434,11,9.9,12.1,"3,457",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Colorectal Cancer Screening,Blood Stool Test,Adults aged 50+ who have had a blood stool test within the past two years (variable calculated from one or more BRFSS questions),No,"3,327",89,87.9,90.1,"3,458",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Colorectal Cancer Screening,Blood Stool Test,Adults aged 50-75 who have had a blood stool test within the past year (variable calculated from one or more BRFSS questions),Had a blood stool test in the past year,202,5.8,4.9,6.7,"3,497",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Colorectal Cancer Screening,Blood Stool Test,Adults aged 50-75 who have had a blood stool test within the past year (variable calculated from one or more BRFSS questions),Have not had a blood stool test in the past year,"3,013",94.2,93.3,95.1,"3,498",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Colorectal Cancer Screening,Sigmoidoscopy,Adults aged 50+ who have ever had a sigmoidoscopy or colonoscopy (variable calculated from one or more BRFSS questions),Yes,"2,895",75.3,73.8,76.9,"3,536",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Colorectal Cancer Screening,Sigmoidoscopy,Adults aged 50+ who have ever had a sigmoidoscopy or colonoscopy (variable calculated from one or more BRFSS questions),No,923,24.7,23.1,26.2,"3,537",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Colorectal Cancer Screening,USPSTF Recommendations,Respondents aged 50-75 who have fully met the USPSTF recommendation (variable calculated from one or more BRFSS questions),Met USPSTF recommendations for testing,"2,279",70.6,68.8,72.5,"3,576",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Colorectal Cancer Screening,USPSTF Recommendations,Respondents aged 50-75 who have fully met the USPSTF recommendation (variable calculated from one or more BRFSS questions),Did not meet USPSTF recommendations for testing,887,29.4,27.6,31.2,"3,577",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Age,What is your age?,18-24 years,343,13.3,11.9,14.7,"1,332",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Age,What is your age?,25-34 years,643,13.9,12.8,15,"1,333",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Age,What is your age?,35-44 years,822,14.2,13.2,15.2,"1,334",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Age,What is your age?,45-54 years,"1,279",18.1,17,19.1,"1,335",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Age,What is your age?,55-64 years,"1,572",19.5,18.5,20.6,"1,336",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Age,What is your age?,65+ years,"1,816",21,20,22,"1,337",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Disability status,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?",Yes,224,3.4,2.8,3.9,"2,350",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Disability status,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?",No,"5,998",96.6,96.1,97.2,"2,351",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Disability status,"Do you have serious difficulty concentrating, remembering, or making decisions?",Yes,571,9.8,8.9,10.7,"2,396",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Disability status,"Do you have serious difficulty concentrating, remembering, or making decisions?",No,"5,638",90.2,89.3,91.1,"2,397",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Disability status,Do you have difficulty doing errands alone?,Yes,360,5.6,4.9,6.2,"2,533",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Disability status,Do you have difficulty doing errands alone?,No,"5,826",94.5,93.8,95.1,"2,534",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Disability status,Do you have difficulty dressing or bathing?,Yes,200,2.9,2.4,3.4,"2,488",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Disability status,Do you have difficulty dressing or bathing?,No,"6,004",97.1,96.6,97.6,"2,489",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Disability status,Do you have serious difficulty walking or climbing stairs?,Yes,831,12,11.1,12.9,"2,442",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Disability status,Do you have serious difficulty walking or climbing stairs?,No,"5,368",88,87.1,88.9,"2,443",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Disability status,"Adults who are limited in any activities because of physical, mental, or emotional problems",Yes,"1,459",21.8,20.5,23,"2,258",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Disability status,"Adults who are limited in any activities because of physical, mental, or emotional problems",No,"4,770",78.3,77,79.5,"2,259",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Disability status,Adults with health problem(s) that requires the use of special equipment,Yes,568,8,7.3,8.8,"2,304",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Disability status,Adults with health problem(s) that requires the use of special equipment,No,"5,663",92,91.2,92.7,"2,305",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Education,What is the highest grade or year of school you completed?,Less than H.S.,314,8.7,7.6,9.9,"1,700",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Education,What is the highest grade or year of school you completed?,H.S. or G.E.D.,"1,868",30.4,29.1,31.8,"1,701",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Education,What is the highest grade or year of school you completed?,Some post-H.S.,"1,468",29.3,27.9,30.8,"1,702",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Education,What is the highest grade or year of school you completed?,College+,"2,778",31.5,30.3,32.8,"1,703",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Employment,What is your employment status?,No work< yr,150,2.9,2.4,3.5,"1,783",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Employment,What is your employment status?,No work >yr,105,1.8,1.4,2.2,"1,782",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Employment,What is your employment status?,Student,150,5.3,4.4,6.3,"1,785",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Employment,What is your employment status?,Retired,"1,458",17.7,16.7,18.6,"1,786",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Employment,What is your employment status?,Unable to work,381,5.9,5.2,6.6,"1,787",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Employment,What is your employment status?,Employed,"3,187",52,50.5,53.5,"1,780",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Employment,What is your employment status?,Homemaker,223,3.5,3,4.1,"1,784",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Employment,What is your employment status?,Self-employed,758,10.8,9.9,11.7,"1,781",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Income,What is your annual household income?,"Less than $15,000",474,8.8,7.9,9.8,"1,958",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Income,What is your annual household income?,"$15,000 - 24,999",852,15.7,14.6,16.8,"1,959",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Income,What is your annual household income?,"$25,000 - 34,999",608,11.2,10.2,12.2,"1,960",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Income,What is your annual household income?,"$35,000 -  49,999",853,16.1,14.9,17.3,"1,961",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Income,What is your annual household income?,"$50,000+","2,765",48.2,46.6,49.8,"1,962",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Internet,Have you used the internet in the past 30 days?,Yes,"5,335",86,85,87,"2,143",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Internet,Have you used the internet in the past 30 days?,No,961,14,13,15,"2,144",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Marital Status,What is your marital status?,Married,"3,518",52.7,51.2,54.2,"1,440",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Marital Status,What is your marital status?,Divorced,"1,006",12.5,11.6,13.4,"1,441",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Marital Status,What is your marital status?,Widowed,600,6.5,5.9,7.1,"1,442",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Marital Status,What is your marital status?,Separated,88,1.3,1,1.6,"1,443",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Marital Status,What is your marital status?,Never married,969,22.6,21.1,24,"1,444",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Marital Status,What is your marital status?,Partnered,232,4.5,3.8,5.2,"1,445",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),Five or more children,18,0.4,0.2,0.7,"1,577",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),Four children,46,0.9,0.6,1.2,"1,576",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),Three children,223,3.9,3.3,4.4,"1,575",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),Two children,661,12,11,13,"1,574",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),One child,695,12.9,11.8,13.9,"1,573",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),None,"4,796",70,68.6,71.4,"1,572",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Race,What is your race/ethnicity?,White,"6,084",94.3,93.5,95.1,"1,237",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Race,What is your race/ethnicity?,Black,36,0.8,0.5,1.1,"1,238",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Race,What is your race/ethnicity?,MultiRacial,72,1.1,0.8,1.4,"1,241",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Race,What is your race/ethnicity?,Other,119,2.7,2.1,3.2,"1,240",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Race,What is your race/ethnicity?,Hispanic,50,1.1,0.7,1.5,"1,239",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Rent/Own Home,Do you own or rent your home?,Own,"4,807",74.2,72.9,75.6,"2,189",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Rent/Own Home,Do you own or rent your home?,Rent,"1,256",21.3,20.1,22.6,"2,190",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Rent/Own Home,Do you own or rent your home?,Other,199,4.5,3.7,5.2,"2,191",%,"(43.62538123900049, -72.51764079099962)"
VT,Vermont,Demographics,Sex,Gender of respondent,Male,"2,886",48.8,47.4,50.3,"2,053",%,"(43.62538123900049, -72.51764079099962)"
